temperatura_cabeza_F_diff,temperatura_cabeza_F,dosis_IC_ppm_diff,dosis_IC_ppm,agua_BAPD,mpy
0.0,98.0352725,0.0,39.4364439,1437.15721,0.998794044
16.764727499999992,114.8,-11.52802508,27.90841882,409.0273632,7.577549882
-10.799999999999995,104.0,-27.90841882,0.0,1108.000008,14.95569056
3.5999999999999943,107.6,85.0,85.0,755.97588,10.08854889
0.0,107.6,-45.0,40.0,639.03936,1.528931141
-12.599999999999994,95.0,-4.73750123,35.26249877,976.58561,6.848937745
6.725657499999997,101.7256575,-35.26249877,0.0,401.33632,0.820601455
-1.3256574999999913,100.4,120.0,120.0,648.027045,1.833481095
-14.400000000000006,86.0,-40.0,80.0,561.8543451,15.21648516
9.0,95.0,-44.7613893,35.2386107,829.941672,14.83451346
9.0,104.0,-35.2386107,0.0,233.48358,1.290582289
-9.0,95.0,95.13364148,95.13364148,1618.8,15.33591319
27.0,122.0,-95.13364148,0.0,1043.84864,12.5371739
-18.0,104.0,40.0,40.0,392.54854,11.18483248
-3.5999999999999943,100.4,-2.394115560000003,37.60588444,1148.56,5.221319545
14.399999999999991,114.8,-37.60588444,0.0,973.0338582,9.57908154
-14.440091699999996,100.3599083,38.28531553,38.28531553,892.717082,14.93809895
-7.159908299999998,93.2,71.71468447000001,110.0,564.35927,5.817330158
5.333911169999993,98.53391117,-71.12779133000001,38.87220867,1328.5701,7.120207445
-8.933911170000002,89.6,-6.872208669999999,32.0,279.18891,0.760638773
21.60000000000001,111.2,68.0,100.0,728.0135,1.872523971
1.7999999999999972,113.0,-20.0,80.0,432.82704,6.315049216
-20.52,92.48,-58.22736411,21.77263589,279.38436,11.444
2.519999999999996,95.0,-6.39184378,15.38079211,151.3296,1.041435274
9.0,104.0,5.61920789,21.0,652.292342,0.704322553
3.5999999999999943,107.6,-21.0,0.0,724.278868,15.31665235
-4.192447699999988,103.4075523,0.0,0.0,707.7903,1.288605704
-2.321119700000011,101.0864326,0.0,0.0,571.9726239,6.02769069
10.113567400000008,111.2,27.0,27.0,406.0014,1.404969158
-7.200000000000003,104.0,27.278631580000003,54.27863158,467.758125,1.14684753
-9.243628779999996,94.75637122,-11.278481680000006,43.0001499,360.62997,0.523667424
5.857148379999998,100.6135196,1.9998501000000035,45.0,62.387283,6.817994021
